제목,내용
박세진 겸임교수님 부임을 환영합니다.,"부산대학교 컴퓨터공학과 컴퓨터구조 및 병렬처리 연구실에서 박사학위 취득.삼성전자 DMC연구소(구,통신연구소)에서 삼성전자 HWMAC 설계 파트 리더로 1세대 LTE Modem 개발및 상용화, 이후 무선사업부에서 AP-Modem간 인터페이스팀리더로 스마트폰 개발.ST-Ericsson Korea 및Ericsson Korea에서 SW팀/HW팀리더로 삼성전자 무선사업부 스마트폰 대상 AP 및 Modem 서포트.드림텍(주)에서 프로젝트리더로 IoT 제품 기획, 해외 기술 및 칩 솔루션 상용화, 헬스케어 제품 기획, 개발 및 비즈니스 디벨롭먼트.Sentons (미국 산호세 소재 팹리스 스타트업) 한국지사장을 맡아 한국팀 셋업 및 삼성전자 및 엘지전자 프로젝트 진행.이후, 감바랩스(주) 창업하여 대표이사로 재직중이며 Embedded AI 및 TinyML 기술을 개발하고 관련 사업화를 진행하고 있음."
정보보호 및 사물지능 연구실(김호원 교수) S/W 융합 해커톤대회 부산광역시장상 수상,"정보보호 및 사물지능 연구실(김호원 교수)S/W 융합 해커톤대회 부산광역시장상 수상  S/W융합해커톤 부산광역시장상(우수상) 수상팀 석사과정 오경우, 김보금, 정한호, 오시몬, 신영재     최근 정보보호 및 사물지능 연구실 소속 대학원생들이 김호원 교수의 지도 아래 또 다른 수상 성과를 달성하였다. 2023년 8월에 개최된 ‘제10회 대한민국 S/W융합 해커톤 대회’에서의 부산광역시장상 수상이다.   과학기술정보통신부가 주최한 '대한민국 S/W융합 해커톤 대회'에서는 '더 나은 미래를 위한 새로운 SW융합 기술 및 서비스'를 주제로 울산전시컨벤션센터에서 무박 3일 동안 개최되었다. ‘LLM 기반 사용자 맞춤 대화형 심리상담 및 상담사 연계 플랫폼’이 우수상으로 최종 선정되었는데, ChatGPT 및 생성형 AI와 블록체인 기술을 융합해 프라이버시와 상담의 질을 동시에 챙기는 혁신적인 솔루션으로 주목 받았다.     한편 정보보호 및 사물지능 연구실은 부산대학교 지능형융합보안대학원의 지원을 통해 AI-블록체인 융합보안 특화교육, 입학금 및 등록금, 다양한 교육프로그램과 연구장비 등을 제공 받고 있다. 융합보안대학원은 현장에 특화된 전문인력 양성을 위해 앞으로도 아낌 없는 지원을 이어나갈 예정이라고 밝혔다."
[전상률 교수님/조준수 교수님  부임] 신임교수님 부임을 환영합니다!,"전상률 교수는 부산대 정보컴퓨터공학부에 부임하기 전 영상 정합 기반의 기계자율학습에 대해 연구하여 연세대학교박사학위를 취득하였으며, 학위 과정 중 영상 정합을 바탕으로 하는 정말한 영상 재생성 (Correspondence-driven style transfer)의 주제로Adobe research, San Jose 에서 Research intern으로 연구를수행했습니다. 2022년부터 UC berkeley EECS 학과에서Postdoctral scholar으로 재직하였으며 이 후 University ofMichigan, Ann arbor 에서 Research fellow로 연구를 수행하였습니다. 컴퓨터비전 분야의 세계 최상위 학회인 CVPR / ICCV / ECCV /NeurIPS 에 저자로 10편 (주저자 4편) 을 출판하였고 자가학습 기반의 표현자 학습 / 영상 정합 기반 생성형 알고리즘  등의 주제로 연구를이어나가고 있습니다.  조준수 교수는 부산대 정보컴퓨터공학부에 부임하기 전에는 포항공대에서 데이터마이닝과 추천 시스템, 딥 러닝을 연구하여 박사학위를 취득했으며, 이후 동 연구실에서 박사후연구원으로서   GS리테일, 현대자동차 등과 협업하며 추천 시스템에 대해 연구했습니다.  전공은 데이터 마이닝, 추천 시스템이며, 자연어 처리를 기반으로 하는 멀티모달 데이터 마이닝 또한 관심 연구 분야입니다."
"정보보호 및 사물지능 연구실(김호원 교수), 블록체인 분야 공모전 및 국제학술대회에서 수상","정보보호 및 사물지능 연구실(김호원 교수)블록체인 분야 공모전 및 국제학술대회에서 수상 석권 블록체인 난제해결 챌린지 수상팀 대표 석사과정 오경우, 석사과정 오시몬Platcon-23 우수논문상   정보보호 및 사물지능 연구실(지도교수 김호원) 소속 대학원생들이 2023년 8월에 개최된 다양한 공모전과 학술대회에서 연이어 수상하며 블록체인 분야에서의 연구 역량을 공식적으로 인정받았다. '2023 블록체인 핀테크 경진대회'의 블록체인 난제 해결 부문에서는 우수상을 수상하였으며, 'Platcon-23' 국제학술대회에서는 우수논문상을 수상하였다. * 블록체인 난제 해결 부문 우수상(한국인터넷진흥원장상): 오상봉, 오경우, 오시몬, 김재현, 김요한 * Platcon-23 학술대회 우수논문상: 김재현, 오상봉, 김요한   ‘2023 블록체인 핀테크 경진대회’는 과학기술정보통신부가 주최하고 한국인터넷진흥원에서 주관하는 경진대회로, 혁신적인 블록체인, 핀테크 기술과 서비스 발굴을 위해 개최됐다. 수상작은 ‘온체인 및 디파이 활동 데이터 기반 신용평가 플랫폼’이다. 기존 디파이 금융에서 발생하는 담보대출의 높은 이자율 지불 방식의 한계를 극복하고 완전히 탈중앙화된 디파이 금융 환경을 제공한다는 점에서 높이 평가받았다.  또한 ‘Platcon-23’에서 우수논문상을 수상한 연구 주제는 ‘Improving Voting of Block Producers for Delegated Proof-of-Stake with Quadratic voting’이다. 이 연구는 DPoS 합의 알고리즘에 Quadratic Voting을 적용하여 탈중앙성을 강화하는 방법을 탐구하여 우수한 평가를 받았다. 한편 수상 학생들은 모두 부산대학교 지능형융합보안대학원의 수혜인력이다. 해당 사업은 2020년부터 총 6년 동안 특화된 AI-블록체인 융합 보안 교육을 통해 우수한 연구 인력을 양성하며, 석사과정생들이 연구에 전념할 수 있게 입학금과 등록금, 연구장비, 그리고 다양한 교육지원비를 제공하고 있다."
"염근혁교수 연구실(SW공학 연구실), KCC2023 논문경진대회 학부생부문 최우수상 수상","정보컴퓨터공학부 염근혁 교수님, 소프트웨어공학 연구실 (Software Engineering Lab.) 소속의  이제호 (학사과정 18학번), 정수민 (박사과정 22학번), 지능물류연구소 소속의 박준석 (연구교수) 씨가 작성한 논문이 한국정보과학회에서 주최한 *2023 한국컴퓨터종합학술대회에서 학부생/주니어논문경진대회 학부생 부문 최우수상을 수상하였다.* 2023 한국컴퓨터종합학술대회▣ 일시: 2023년 6월 17일(토) - 20일(화)▣ 장소: 라마다프라자제주호텔   제주오리엔탈호텔▣ 주관: 한국정보과학회** 수상 논문▣ 제목: 허가형 블록체인의 오프체인 데이터 구축 방법▣ 저자: 이제호, 정수민, 박준석, 염근혁 (부산대학교)"
"김호원 교수팀, 컴퓨터비전 분야 우수 국제 학술대회 ‘ICCV 2023’ 논문 채택","정보융합공학과 김호원 교수팀 컴퓨터비전 분야 우수 국제 학술대회 ‘ICCV 2023’ 논문 채택   * 사진 설명 : 왼쪽부터 연구 지도를 맡은 김호원 교수(교신저자),  박사과정생 수랸토 나우팔(공동1저자)과 김용수(공동1저자) 정보융합공학과 김호원 교수팀이 제안한 연구논문이 컴퓨터 비전 분야 우수 국제학술대회인 ICCV(International Conference on Computer Vision, 국제 컴퓨터 비전 학회) 2023년 Main conference 논문으로 채택됐다.  작년 CVPR(Computer Vision and Pattern Recognition, 국제 컴퓨터 비전 및 패턴인식 학술대회)에서 연구성과를 발표한 것에 이어, 인공지능-패턴 인식 분야에서 최고 권위로 평가받는 학술대회에 2년 연속으로 논문이 선정되는 고무적인 성과를 이루어낸 것이다. 연구팀은 “ACTIVE: Towards Highly Transferable 3D Physical Camouflage for Universal and Robust Vehicle Evasion(미분 가능한 뉴럴 렌더러를 통한 자연스러운 물리적 위장 공격)” 라는 논문을 통해, 차량 종류와 무관하게 다양한 물리적 상황과 조건에 강인한 적대적 공격 패턴(Adversarial attack pattern)을 생성하는 프레임워크를 제안하고 이를 실현했다. 프레임워크에서 제안된  NTR(Neural Texture Renderer, 미분가능한 뉴럴 텍스처링 모델) 기법은  3D 객체에 패턴을 입혔을 때도 실사에 가까운 렌더링 결과를 추론할 수 있는 3D 뉴럴 렌더링 기법이다.  연구팀은 Tesla(테슬라) Model 3에 대한 축소 모형을 제작하였으며, 본 논문에서 제시된 기술을 적용한 결과, 현재 최고의 탐지 및 식별 AI 모델도 쉽게 공격됨을 증명하였다. 한편, 향후 본 기술은 AI 취약점이 개선되는 방향으로 실제 자율주행 자동차 환경에 적용할 예정이다. 즉, 적대적 AI 공격에 안전한 AI 기술을 개발하고, 이를 기반으로 안전하고 신뢰할 수 있는 AI 기술을 개발하고자 한다."
"최윤호 교수팀, ""프라이버시 친화적 데이터 생성 및 학습 방안"" 연구주제","(좌측부터 연구책임자 최윤호 교수, 공동연구자 권동현 교수, 박진선 교수) 과학기술정보통신부는 6월부터 연구를 개시하는 2023년도 기초연구사업 신규과제 114개를 선정했다고 6월 15일 밝혔다.신규과제는 지난 11월 공고 이후 지원한 총 5,183개 과제를 대상으로 해외평가, 토론평가 및 발표평가 등을 거쳐 선정됐으며, 세부사업별 신규과제 수는 리더연구 7개, 선도연구센터 25개, 세종과학펠로우십 국외연수 50개, 기본연구 924개, 기초연구실 114개 등이다.총 114개의 기초연구실(Basic Research Lab, BRL) 과제 중 컴퓨터·소프트웨어 분야에서는 3개 과제(개척형)를 선정하였으며, 연세대학교, 서울대학교와 함께 부산대학교 정보컴퓨터공학부 최윤호 교수(소프트웨어 및 시스템 보안 연구실, https://sec.pusan.ac.kr)팀이 선정됐다. 기초연구실 지원사업은 과학기술정보통신부가 지원하는 사업으로, 전문 분야에 소규모 기초연구 그룹을 지원해 국가 경쟁력 확보를 위한 신기술 개발과 신진 연구자 육성을 목표로 한다.연구책임자 최윤호 교수는 정보컴퓨터공학부 권동현 교수, 박진선 교수, 부산대학교 치과대학 연구진과 함께 공동연구를 수행하게 된다.2023년 6월부터 2026년 2월까지 총 2년 9개월 동안 총 13.75억원을 지원받는다. 최윤호 교수팀은 ‘프라이버시 친화적 재현데이터셋 생성 및 분산 분리학습 방안’을 주제로 선정됐다.연구 책임을 맡은 부산대학교 정보컴퓨터공학부 최윤호 교수는 “Deep Learning을 활용한 이미지 분석 모델의 학습 과정에서 발생하는 데이터 Privacy 유출 위협을 해결하기 위한 연구”라며 “Privacy-Friendly Synthetic 이미지 데이터 생성 기법 및 이를 학습하기 위한 AI 분산 학습 구조를 개발하는 도전적인 연구”라고 말했다."
"부산대, 과기부 「인공지능(AI)융합대학원 사업」 선정","부산대, 과기부 「인공지능(AI)융합대학원 사업」 선정- 4년간 63억 원 투입…동남권 디지털 대전환 선도하는 AI 융합 석·박사 고급 인재 양성- 부산대, 산·학·연 기반 지역 거점 AI 인재 양성 허브 역할 수행     □ 부산대학교(총장 차정인)는 과학기술정보통신부가 지원하는 「2023년도 인공지능융합혁신인재양성(AI융합대학원) 사업」에 최종 선정됐다고 18일 밝혔다.    ○ ‘인공지능융합대학원 사업’은 인공지능융합 분야 석·박사급 고급 인재 양성을 위한 대학원 교육과정을 운영하고 현장 데이터에 특화된 AI 연구 인력을 양성하고자 정부가 추진하는 사업이다.  □ 이번 2023년도 인공지능융합대학원 사업은 전국에서 4개 대학이 선정됐으며, 부산대 AI융합대학원(책임교수 송길태·정보컴퓨터공학부 교수)은 2023년 7월부터 최장 4년간 63억 원(국비 52.5억 원, 부산시와 부산대 지원금 각각 5.25억 원)을 지원받는다.    ○ 부산대 AI융합대학원은 2020년 과기부 ‘인공지능융합연구센터 지원사업’을 통해 일반대학원 AI전공(정보융합공학과)을 설치해 인공지능융합 석·박사 커리큘럼을 운영하고 있으며, 이번 사업 선정을 통해 연속으로 사업을 진행하게 됐다.  □ 부산대 AI융합대학원은 50명 규모의 정원으로, 지역 전략 산업에 연계된 제조·물류, 헬스케어 분야 산·학·연 기반 인공지능 융합 연구를 고도화하고 기업의 AI 기술 수요와 최신 AI 기술 트렌드에 기반해 제조 물류 헬스케어 AI 융합 교과 과정을 혁신하며 채용연계형 특화 트랙 운영 등을 통한 산학 연계를 강화할 계획이다.    ○ 이를 위해 미국 스탠포드대학교, LG전자, ETRI, 한국전기연구원, 부산대학교병원, 씨젠의료재단 등 129개 기관과 협력하고 산학 기반 AI 융합 교육 혁신과 본격적인 성과 창출을 통해 인공지능 융합 전문 인재 양성에 있어 질적 성장을 이뤄내고자 한다.   ○ 이번 사업을 통해 부산대 AI융합대학원은 등록금 장학금, 해외 단기 연수 및 AI 국제 컨퍼런스 참가 지원 등을 통해 학생들이 대학원 교육과 연구에 전념할 수 있도록 하고, 2022년 부산대에 신설된 학부 인공지능전공(정원 68명)과의 연계도 강화할 계획이다.   ○ 또한 부산시의 AI Korea, 부산대 AI 콜로퀴엄 등 지역 내 다양한 AI 행사를 통해 세계적인 국내·외 유수 석학을 초청해 최신 AI 기술이 지역 내 확산될 수 있도록 지원하게 된다.  □ 송길태 부산대 AI융합대학원 책임교수는 “이번 사업을 통해 산학 연계 AI 융합 교육 혁신을 꾀하여, 입학한 대학원생을 기업이 채용하기 원하는 우수한 인력으로 양성시켜 원하는 기업으로 취업이 연계되고 이를 통해 우수한 학생이 부산대 AI융합대학원에 유치되는 인공지능 인력양성 선순환 체계를 구축하겠다”며 “이를 통해 부산대 AI융합대학원이 지역 내 부족한 AI 인력 수요를 채울 수 있는 지역 거점 AI 인재 양성 허브 역할을 수행할 수 있도록 하겠다”고 밝혔다."
정보컴퓨터공학부 김호원 교수 - 2023년 ICT 기술사업화/인재양성대전에서 장관상 수상,"과기정통부 박윤규 2차관과 김호원 교수    정보컴퓨터공학부 김호원 교수가 지난 4월 19일 서울 삼성동 코엑스에서 개최된 ‘ICT 기술사업화 페스티벌’에서 과학기술정보통신부 장관상을 수상했다.     김호원 교수는 부산 블록체인 규제자유특구, 문현 금융단지, 강서구 에코델타스마트시티, 부산신항, 대구시 블록체인 메인넷 정보화전략계획 수립 등 동남권 블록체인 생태계 활성화와 산업체의 블록체인/보안 역량을 높이는데 기여한 공로를 인정 받았다.    이 외에도 김 교수는 IoT 융합형 블록체인 플랫폼 보안 원천 기술 연구를 통해 우수학술지 논문 게재, 해외지식재산권 확보를 통한 국제경쟁력 제고, 지역 전문인재 양성에 기여하고 있다.       한편 동시 개최된 ‘ITRC 인재양성대전 2023’에서는 블록체인 플랫폼 연구센터(센터장: 김호원)가 특별전시관에 선정되어  노코드(No-Code)로 블록체인을 손쉽게 구축하고 거버넌스를 구성하는 솔루션인 ‘BaaS(Blockchain as a Service) Accio’ 기술을 선보여 큰 호응을 얻었다.   블록체인플랫폼연구센터 특별전시관의 모습"
"김민환 교수님, 양세양 교수님 퇴임기념식","2023.2 월 김민환 교수님 양세양 교수님 퇴임기념 행사가 있었습니다.  김민환교수님은 1986년부터, 양세양 교수님은1991년부터 우리학부에 봉직하시다 이제 퇴임을 맞이하게 되었습니다. 긴세월동안 학문연구와 인재양성을 위해 교수님께서 보여주신 열정과 헌신은 우리학부 발전에 큰 밑거름이 되었습니다. 교수님의명예로운 퇴임을 맞이하여 그간의 성취와 노고에 대한 깊은 존경과 감사의 전달드립니다.  교수님들께 전하고 싶은 말은 아래 링크에 작성해주시기 바랍니다. https://forms.gle/bu4fJhF7tJM9tgRu9"
